CaseNo,Address_1,DateOpened_1,CaseType,OpenClosed,Status,StatusDate_1
18130115EMER             ,115 Suburban Ct,02/18/2014,Housing   ,Closed,Closed Out                                        ,02/25/2014
14200430-4               ,430 Ohio St,02/18/2014,Housing   ,Closed,Closed Out                                        ,05/27/2014
11660405-4               ,405 N Limestone,02/18/2014,Housing   ,Closed,Closed Out                                        ,05/27/2014
35832781                 ,2781 Stoney Park Ln,02/18/2014,Housing   ,Closed,Closed Out                                        ,04/02/2014
05022035#7-2             ,2035 Cummins Ct #7,02/18/2014,Housing   ,Closed,Closed Out                                        ,04/03/2014
00231251                 ,1251 Alexandria Dr,02/18/2014,Housing   ,Closed,Closed Out                                        ,05/30/2014
00080459-5               ,459 Addie St,02/18/2014,Housing   ,Closed,Invalid Complaint                                 ,02/19/2014
32210815W10              ,815 Newtown Pike,02/18/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,03/11/2014
03931703W5               ,1703 Chickasaw Ct,02/18/2014,Nuisance  ,Closed,Nuisance Resolved w/o Notice/Order                ,02/19/2014
07550000SIGNS5           ,0 Ft Harrods Dr,02/18/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,02/18/2014
13950000SIGNS2           ,0 Niagara Dr,02/18/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,02/18/2014
32020000SIGNS2           ,0 Canary Rd,02/18/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,02/18/2014
19581216W                ,1216 Venetian Way,02/18/2014,Nuisance  ,Closed,Closed/Abated by City                             ,03/14/2014
04691804W7               ,1804 Costigan Dr,02/14/2014,Nuisance  ,Closed,Closed/Abated by City                             ,03/12/2014
09510500#4-2             ,500 Hollow Creek Rd #4,02/14/2014,Housing   ,Closed,Invalid Complaint                                 ,02/21/2014
18130115-3               ,115 Suburban Ct,02/14/2014,Housing   ,Closed,Closed Out                                        ,08/14/2014
09391728BLDGC            ,1728 Hill Rise Dr Bldg C,02/14/2014,Housing   ,Closed,Closed Out                                        ,07/02/2014
09391728BLDGB            ,1728 Hill Rise Dr Bldg B,02/14/2014,Housing   ,Closed,Closed Out                                        ,09/09/2014
09391728BLDGA            ,1728 Hill Rise Dr Bldg A,02/14/2014,Housing   ,Closed,Closed Out                                        ,09/09/2014
09391728BLDGD            ,1728 Hill Rise Dr Bldg D,02/14/2014,Housing   ,Open  ,Reinspection                                      ,09/09/2014
09391728BLDGE            ,1728 Hill Rise Dr Bldg E,02/14/2014,Housing   ,Open  ,Reinspection                                      ,09/09/2014
33680006W                ,6 Queen Ave,02/14/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/18/2014
17090374W4               ,374 Sheridan Dr,02/14/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/18/2014
36882257W                ,2257 Sunningdale Dr,02/14/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/19/2014
12640515W14              ,515 Maryland Ave,02/14/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/17/2014
06670697#B               ,697 Eureka Springs Dr #B,02/14/2014,Housing   ,Closed,Resolved Complaint                                ,02/18/2014
33050021-3               ,21 Baron Ave,02/14/2014,Housing   ,Closed,Resolved Complaint                                ,03/04/2014
16230617W                ,617 Rogers Rd,02/14/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/04/2014
04691808W2               ,1808 Costigan Dr,02/14/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/18/2014
10441149W2               ,1149 Kees Rd,02/14/2014,Nuisance  ,Closed,Closed Nuisance                                   ,04/03/2014
05320948W                ,948 De Porres Ave,02/13/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/13/2014
12541898W6               ,1898 Marlboro Dr,02/13/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/28/2014
21140708W7               ,708 Woodward Ln,02/13/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/13/2014
10441140-1144W           ,1140-1144 Kees Rd,02/13/2014,Nuisance  ,Closed,Closed Nuisance                                   ,04/03/2014
16900312-7               ,312 E Seventh St,02/13/2014,Housing   ,Closed,Invalid Complaint                                 ,02/14/2014
16532020W2               ,2020 Russell Cave Rd,02/13/2014,Nuisance  ,Closed,Closed/Abated by City                             ,03/26/2014
18601036W2               ,1036 Tatesbrook Dr,02/13/2014,Nuisance  ,Closed,Closed/Abated by City                             ,03/17/2014
06792066W2               ,2066 Fairmont Ct,02/13/2014,Nuisance  ,Closed,Nuisance Resolved w/o Notice/Order                ,02/14/2014
20310122W6               ,122 Westwood Dr,02/13/2014,Nuisance  ,Closed,Nuisance Resolved w/o Notice/Order                ,02/14/2014
07230157W10              ,157 S Forbes Rd,02/12/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,03/19/2014
43083308W2               ,3308 Bay Springs Park,02/12/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,02/28/2014
29942565W8               ,2565 Cashel Ct,02/12/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,03/04/2014
16830258W7               ,258 E Second St,02/12/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,06/27/2014
07020304W5               ,304 E Fifth St,02/12/2014,Nuisance  ,Closed,Closed/Abated by City                             ,03/12/2014
12640561-3               ,561 Maryland Ave,02/12/2014,Housing   ,Closed,Housing Closed w/Civil Penalty                    ,06/11/2014
05580241EMER             ,241 Devonia Ave,02/12/2014,Housing   ,Closed,Closed Out                                        ,04/25/2014
17762021                 ,2021 St Christopher Dr,02/12/2014,Housing   ,Closed,Closed Out                                        ,05/27/2014
18912409#3-4             ,2409 Timberhill Ct #3,02/12/2014,Housing   ,Closed,Closed Out                                        ,06/11/2014
02171332                 ,1332 Bordeaux Dr,02/12/2014,Housing   ,Closed,Closed Out                                        ,02/26/2014
11332116-2148#103        ,2116-2148 Larkspur Dr #103,02/12/2014,Housing   ,Closed,Closed Out                                        ,05/06/2014
12670302#2-2             ,302 E Maxwell St #2,02/12/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/24/2014
14090165W6               ,165 Northwood Dr,02/12/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
14090169W                ,169 Northwood Dr,02/12/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
14831053W3               ,1053 Pennebaker Dr,02/12/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
10620276W5               ,276 Kentucky Ave,02/12/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/05/2014
29410200W                ,200 Tipchik Dr,02/12/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/13/2014
31540649W2               ,649 Graftons Mill Ln,02/11/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/11/2014
08040119W6               ,119 Glenn Pl,02/11/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/14/2014
12390374W                ,374 Manhattan Dr,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
09200605W10              ,605 Hi Crest Dr,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,06/06/2014
04821105W10              ,1105 Crescent Ave,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/28/2014
30870106-108W7           ,106-108 Dantzler Dr,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/28/2014
17930125W14              ,125 State St,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/28/2014
21650965W7               ,965 Warrenton Cir,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/05/2014
11100709W16              ,709 Lakeview Dr,02/11/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/05/2014
10600445-7               ,445 Kenton St,02/11/2014,Housing   ,Closed,Closed Out                                        ,03/26/2014
21012496                 ,2496 Woodhill Dr,02/11/2014,Housing   ,Closed,Closed Out                                        ,06/10/2014
03042045BLDGD            ,2045 Cambridge Dr Bldg D,02/11/2014,Housing   ,Closed,Closed Out                                        ,03/28/2014
12591582-2               ,1582 Martha Ct Ext/Hall,02/11/2014,Housing   ,Open  ,Housing w/Civil Penalty                           ,09/26/2014
35240000SIGNS7           ,0 Star Shoot Pkwy,02/11/2014,Nuisance  ,Closed,Sign Closed-No Notice Required                    ,02/11/2014
11100709-2               ,709 Lakeview Dr,02/10/2014,Housing   ,Open  ,Housing w/Civil Penalty                           ,08/27/2014
21723449W3               ,3449 Featheridge Dr,02/10/2014,Nuisance  ,Closed,Closed/Abated by City                             ,03/10/2014
14121422W7               ,1422 Oak Hill Dr,02/10/2014,Nuisance  ,Closed,Nuisance Closed w/Civil Penalty                   ,06/06/2014
06760133W7               ,133 Fairlawn Ave,02/10/2014,Nuisance  ,Closed,Nuisance Resolved w/o Notice/Order                ,02/13/2014
03042045#45              ,2045 Cambridge Dr #45,02/10/2014,Housing   ,Closed,Closed Out                                        ,05/07/2014
00431474-2               ,1474 Anniston Dr,02/10/2014,Housing   ,Closed,Invalid Complaint                                 ,02/10/2014
16350101                 ,101 Rosemary Ave,02/10/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/11/2014
16650562W                ,562 Sandalwood Dr,02/10/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
12040253W7               ,253 E Loudon Ave,02/10/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/11/2014
12040255W3               ,255 E Loudon Ave,02/10/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/31/2014
21723421W2               ,3421 Featheridge Dr,02/10/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/11/2014
30033885W                ,3885 Scarlet Oak Ln,02/07/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/10/2014
00483751#211-2           ,3751 Appian Way #211,02/07/2014,Housing   ,Closed,Resolved Complaint                                ,02/27/2014
19840220-4               ,220 Waller Ave,02/07/2014,Housing   ,Closed,Resolved Complaint                                ,02/11/2014
02511081#404             ,1081 S Broadway #404,02/07/2014,Housing   ,Closed,Resolved Complaint                                ,02/11/2014
02671824W                ,1824 Bryan Station Rd,02/07/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
04731885W2               ,1885 Courtland Dr,02/07/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
07510553W3               ,553 Freeman Dr,02/07/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
10671623W                ,1623 Kilkenny Dr,02/07/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
04731809W3               ,1809 Courtland Dr,02/07/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/21/2014
03042045#1               ,2045 Cambridge Dr #1,02/07/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/12/2014
12640568-6               ,568 Maryland Ave,02/07/2014,Housing   ,Closed,Invalid Complaint                                 ,02/12/2014
05220209S2               ,209 Dantzler Ct,02/07/2014,Housing   ,Closed,Closed Out                                        ,05/13/2014
02661425#A               ,1425 Bryan Ave #A,02/07/2014,Housing   ,Closed,Closed Out                                        ,03/26/2014
18912409-3               ,2409 Timberhill Ct,02/07/2014,Housing   ,Closed,Closed Out                                        ,03/31/2014
05250919-2               ,919 Darley Dr,02/07/2014,Housing   ,Closed,Closed Out                                        ,05/05/2014
08923324S3               ,3324 Hartston Dr,02/06/2014,Housing   ,Closed,Closed Out                                        ,08/06/2014
11660647-2               ,647 N Limestone,02/06/2014,Housing   ,Closed,Closed Out                                        ,04/01/2014
19531531                 ,1531 Van Buren Dr,02/06/2014,Housing   ,Closed,Closed Out                                        ,07/08/2014
34492829-3               ,2829 Ryan Cir,02/06/2014,Housing   ,Closed,Closed Out                                        ,03/27/2014
20671053#79              ,1053 Winburn Dr #79,02/06/2014,Housing   ,Closed,Invalid Complaint                                 ,02/21/2014
04430144-2               ,144 Colfax St,02/06/2014,Housing   ,Closed,Closed/Cancelled-No Response from Tenant          ,02/14/2014
03081721W                ,1721 Cameron Ct,02/06/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
13490409W                ,409 Moss Dr,02/06/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
17662004-2006W4          ,2004-2006 Spring Station Dr,02/06/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/27/2014
20660203W2               ,203 Wilton Ave,02/06/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/18/2014
19602003W3               ,2003 Versailles Rd,02/06/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/18/2014
00400422W2               ,422 Angliana Ave,02/06/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/07/2014
12080327W6               ,327 E Lowry Ln,02/06/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/07/2014
04913620W                ,3620 Crosby Dr,02/05/2014,Nuisance  ,Closed,Invalid Nuisance                                  ,02/11/2014
18593543#113-2           ,3543 Tates Creek Rd #113,02/05/2014,Housing   ,Closed,Resolved Complaint                                ,03/11/2014
05750169#2               ,169 Donabrook Ct #2,02/05/2014,Housing   ,Closed,Resolved Complaint                                ,02/10/2014
33680049-2               ,49 Queen Ave,02/05/2014,Housing   ,Closed,Resolved Complaint                                ,03/04/2014
09510541W3               ,541 Hollow Creek Rd,02/05/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/28/2014
01431401W                ,1401 Bayou Ct,02/05/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/20/2014
01560616W                ,616 Bellcastle Rd,02/05/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/20/2014
10671631W                ,1631 Kilkenny Dr,02/05/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/20/2014
17661972-1974W           ,1972-1974 Spring Station Dr,02/05/2014,Nuisance  ,Closed,Closed Nuisance                                   ,02/20/2014
19930881W10              ,881 Ward Dr,02/05/2014,Nuisance  ,Closed,Closed Nuisance                                   ,03/24/2014
