permit_no;date;address;type;work;entity;start;end;lnblock
 29881;06/18/2015;106 N Ashland Ave;Street Cut;Add/Change Equipment;Kentucky American Water;06/26/2015;07/17/2015;Yes
 29882;06/18/2015;3170 Pimlico Pkwy;Street Cut;Add/Change Equipment;Kentucky American Water;06/26/2015;07/17/2015;Yes
 29883;06/18/2015;3183 Yellowstone Pkwy;Annual General Permit;Maintenance;Kentucky American Water;06/26/2015;07/17/2015;No
 29884;06/18/2015;3217 Mirror Lake Dr;Annual General Permit;Maintenance;Kentucky American Water;06/26/2015;07/17/2015;No
 29879;06/18/2015;1840 Gayle Dr;Street Cut;Maintenance;Kentucky American Water;06/16/2015;07/07/2015;Yes
 29880;06/18/2015;3274 Leestown Rd;Installation;Maintenance;Kentucky American Water;06/16/2015;07/07/2015;No
 29886;06/18/2015;1465 Huntsville Dr;Annual General Permit;Repair;Columbia Gas;06/10/2015;06/18/2015;No
 29887;06/18/2015;1126 Briarwood Dr;Annual General Permit;Repair;Columbia Gas;06/10/2015;06/18/2015;No
 29888;06/18/2015;1155 Redwood Dr;Installation;Repair;Columbia Gas;06/10/2015;07/01/2015;No
 29889;06/18/2015;1466 Huntsville Dr;Street Cut;Repair;Columbia Gas;06/11/2015;07/02/2015;No
 29885;06/18/2015;1025 Lakefront Dr;Annual General Permit;Maintenance;Kentucky American Water;06/26/2015;07/17/2015;No
 29878;06/18/2015;400 S Limestone;Street Cut;Maintenance;Columbia Gas;06/09/2015;06/30/2015;No
 29877;06/17/2015;1410 Cochran Rd;Street Cut;New Construction;Columbia Gas;06/18/2015;07/01/2015;Yes
 29876;06/16/2015;3375 Todds Rd;Installation;New Construction;Columbia Gas;08/16/2015;10/30/2015;Yes
 29872;06/16/2015;4131 Todds Rd;Installation;Add/Change Equipment;Columbia Gas;06/22/2015;08/28/2015;Yes
 29874;06/16/2015;3900 Todds Rd;Installation;New Construction;Columbia Gas;06/22/2015;08/28/2015;Yes
 29871;06/16/2015;3701 Todds Rd;Installation;New Construction;Columbia Gas;06/22/2015;08/28/2015;Yes
 29873;06/16/2015;3561 Todds Rd;Installation;Add/Change Equipment;Columbia Gas;08/23/2015;10/30/2015;No
 29875;06/16/2015;3375 Todds Rd;Installation;New Construction;Columbia Gas;08/16/2015;10/30/2015;Yes
 29865;06/15/2015;Habersham Dr;Annual General Permit;Repair;Columbia Gas;06/09/2015;06/15/2015;No
 29867;06/15/2015;250 S Hanover Ave;Street Cut;Repair;Kentucky American Water;06/11/2015;07/02/2015;Yes
 29868;06/15/2015;3449 Featheridge Dr;Installation;Repair;Kentucky American Water;06/11/2015;07/02/2015;No
 29869;06/15/2015;605 Arcadia Park;Street Cut;Maintenance;Kentucky American Water;06/13/2015;07/04/2015;Yes
 29870;06/15/2015;1781 Sharkey Way;Installation;Maintenance;Kentucky American Water;06/12/2015;07/03/2015;No
 29866;06/15/2015;1490 Summerhill Dr;Installation;Repair;Kentucky American Water;06/10/2015;07/01/2015;No
 29864;06/12/2015;218 Race St;Installation;Repair;Kentucky American Water;06/10/2015;07/01/2015;No
 29855;06/12/2015;109 Edison Dr;Street Cut;Maintenance;Kentucky American Water;06/20/2015;07/10/2015;Yes
