permit_no;date;address;type;work;entity;start;end;lnblock
 29042;02/05/2015;633 Sayre Ave;Street Cut;Repair;Columbia Gas;01/29/2015;02/19/2015;Yes
 29043;02/05/2015;1548-1605 Cantrill Dr;Street Cut;Repair;LFUCG-San Sewers (Water Quality);02/04/2015;02/25/2015;Yes
 29044;02/05/2015;1508-1529 Green Hills Rd;Street Cut;Repair;LFUCG-San Sewers (Water Quality);02/04/2015;02/25/2015;Yes
 29045;02/05/2015;721 Roland Ave;Street Cut;Repair;LFUCG-San Sewers (Water Quality);02/04/2015;02/25/2015;Yes
 29046;02/05/2015;1600, 1606 Martha Ct;Street Cut;Repair;LFUCG-San Sewers (Water Quality);02/04/2015;02/25/2015;Yes
 29047;02/05/2015;1400, 1405 Cantrill Ct;Street Cut;Repair;LFUCG-San Sewers (Water Quality);02/04/2015;02/25/2015;Yes
 29048;02/05/2015;117 N Broadway Park;Street Cut;Maintenance;Kentucky American Water;01/30/2015;02/20/2015;Yes
 29040;02/04/2015;2264 Abbeywood Rd;Installation;Repair;Columbia Gas;01/30/2015;02/03/2015;No
 29032;02/04/2015;419 Uhlan Ct;Street Cut;Maintenance;Kentucky American Water;01/28/2015;02/18/2015;Yes
 29033;02/04/2015;372 S Broadway Park;Street Cut;Maintenance;Kentucky American Water;01/28/2015;02/18/2015;Yes
 29034;02/04/2015;;Installation;Maintenance;Kentucky American Water;01/28/2015;02/18/2015;No
 29035;02/04/2015;Cindy Blair Way;Installation;Maintenance;Kentucky American Water;01/28/2015;02/18/2015;No
 29036;02/04/2015;1503 Cochran Rd;Installation;Maintenance;Windstream Communications;02/10/2015;03/03/2015;No
 29037;02/04/2015;207 Devonia Ave;Annual General Permit;Maintenance;LFUCG-San Sewers (Water Quality);01/26/2015;02/16/2015;No
 29038;02/04/2015;E Short St;Street Cut;Add/Change Equipment;Columbia Gas;04/01/2015;04/22/2015;Yes
 29039;02/04/2015;1395 Lakewood Dr;Street Cut;Maintenance;Kentucky American Water;01/29/2015;02/19/2015;Yes
 29022;02/04/2015;200 W Loudon Ave;Street Cut;New Construction;Contractor;04/01/2015;07/31/2015;Yes
 29031;02/04/2015;317 Aylesford Pl;Street Cut;Repair;Columbia Gas;01/28/2015;02/18/2015;Yes
 29029;02/04/2015;372 S Broadway Park;Street Cut;Repair;Columbia Gas;01/28/2015;02/18/2015;Yes
 29030;02/04/2015;212 University Ave;Street Cut;Repair;Columbia Gas;01/28/2015;02/18/2015;Yes
 29028;02/04/2015;2236 Abbeywood Rd;Annual General Permit;Repair;Columbia Gas;01/28/2015;02/03/2015;No
 29027;02/04/2015;1796 Farmview Dr;Installation;Repair;Columbia Gas;01/26/2015;02/03/2015;No
 29025;02/04/2015;1237 Tishoff Dr;Installation;Maintenance;Kentucky American Water;01/22/2015;02/12/2015;No
 29026;02/04/2015;801-803 Greendale Rd;Annual General Permit;Maintenance;Windstream Communications;12/02/2014;01/02/2015;No
 29023;02/04/2015;2462 Larkin Rd;Annual General Permit;Repair;Columbia Gas;01/21/2015;02/03/2015;No
 29024;02/04/2015;;Installation;Repair;Columbia Gas;01/21/2015;02/03/2015;No
 28986;02/03/2015;372 Shoreside Dr;Street Cut;Repair;Kentucky American Water;01/21/2015;02/11/2015;Yes
 29000;02/02/2015;1933 Augusta Dr;Annual General Permit;Repair;Columbia Gas;01/20/2015;01/30/2015;No
 29001;02/02/2015;307 Santa Fe Ct;Annual General Permit;Repair;Columbia Gas;05/12/2015;06/02/2015;No
 29002;02/02/2015;2555 Palumbo Dr;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29003;02/02/2015;;Annual General Permit;Repair;Columbia Gas;05/19/2015;06/09/2015;No
 29004;02/02/2015;905 Woodglen Ct;Annual General Permit;Repair;Columbia Gas;02/11/2015;03/04/2015;No
 28999;02/02/2015;Eastland Dr;Street Cut;Maintenance;Kentucky American Water;01/27/2015;02/17/2015;Yes
 29011;02/02/2015;2272 Barnwell Ln;Annual General Permit;New Construction;Columbia Gas;02/05/2015;02/26/2015;No
 29012;02/02/2015;1384 Saddle Club Way;Annual General Permit;New Construction;Columbia Gas;02/05/2015;02/26/2015;No
 29010;02/02/2015;500 Hollow Creek Rd;Street Cut;New Construction;Columbia Gas;02/09/2015;03/02/2015;Yes
 29009;02/02/2015;2444-2461 Checkerberry Dr;Installation;New Construction;Columbia Gas;02/16/2015;03/11/2015;No
 29005;02/02/2015;413 Stonehedge Pl;Installation;Repair;Columbia Gas;05/19/2015;06/09/2015;No
 29006;02/02/2015;1192 Taborlake Dr;Annual General Permit;Repair;Columbia Gas;05/19/2015;05/09/2015;No
 29007;02/02/2015;332 Larkwood Dr;Annual General Permit;Repair;Columbia Gas;02/05/2015;02/26/2015;No
 29008;02/02/2015;1575 Elston Dr;Annual General Permit;Repair;Columbia Gas;02/11/2015;03/04/2015;No
 29019;02/02/2015;1523 Old Leestown Rd;Installation;Repair;Columbia Gas;01/26/2015;02/16/2015;No
 29020;02/02/2015;;Installation;Maintenance;Kentucky American Water;01/27/2015;02/17/2015;No
 29013;02/02/2015;;Street Cut;Maintenance;Kentucky American Water;01/24/2015;02/14/2015;No
 29014;02/02/2015;931 Whitney Ave;Installation;Maintenance;Kentucky American Water;01/23/2015;02/13/2015;No
 29015;02/02/2015;1414 Lakewood Dr;Installation;Maintenance;Kentucky American Water;01/23/2015;02/13/2015;No
 29016;02/02/2015;Hampton Ct;Street Cut;Repair;Columbia Gas;01/23/2015;02/13/2015;Yes
 29017;02/02/2015;Faye Cir;Street Cut;Maintenance;Kentucky American Water;01/26/2015;02/16/2015;Yes
 29018;02/02/2015;623 W High St;Street Cut;Maintenance;Kentucky American Water;01/25/2015;02/15/2015;Yes
 29021;02/02/2015;427 Glen Arvin Ave;Street Cut;Maintenance;Kentucky American Water;01/27/2015;02/17/2015;Yes
 28996;01/29/2015;3701 Salisbury Dr;Installation;Maintenance;Kentucky American Water;01/27/2015;02/17/2015;No
 28997;01/29/2015;3753 Salisbury Dr;Installation;Maintenance;Kentucky American Water;01/27/2015;02/17/2015;No
 28995;01/29/2015;941 N Broadway;Street Cut;Repair;Columbia Gas;02/06/2015;02/27/2015;Yes
 28994;01/29/2015;1720 Courtney Ave;Annual General Permit;Repair;Columbia Gas;02/05/2015;02/26/2015;No
 28992;01/29/2015;713 Lakeview Dr;Annual General Permit;Repair;Columbia Gas;02/11/2015;03/04/2015;No
 28993;01/29/2015;111 Lincoln Ave;Installation;Repair;Columbia Gas;02/05/2015;02/26/2015;No
 28982;01/29/2015;3388 Blackford Pkwy;Installation;New Construction;Columbia Gas;03/02/2015;03/23/2015;No
 28983;01/29/2015;1792 Goodpaster Way;Annual General Permit;New Construction;Columbia Gas;02/09/2015;03/02/2015;No
 28987;01/29/2015;744 Gatehouse Pl;Annual General Permit;Repair;Columbia Gas;02/04/2015;02/25/2015;No
 28988;01/29/2015;761 Gatehouse Pl;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 28989;01/29/2015;438 Anniston Dr;Annual General Permit;Repair;Columbia Gas;05/22/2015;06/12/2015;No
 28990;01/29/2015;535 St Anthony Dr;Annual General Permit;Repair;Columbia Gas;02/04/2015;02/25/2015;No
 28991;01/29/2015;709 Hambrick Ave;Annual General Permit;Repair;Columbia Gas;02/04/2015;02/25/2015;No
 28984;01/29/2015;216-262 Delmar Ave;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/31/2015;02/21/2015;Yes
 28985;01/29/2015;701 Henry Clay Blvd;Street Cut;New Construction;Columbia Gas;02/02/2015;02/23/2015;Yes
 28977;01/29/2015;Winchester Rd;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/26/2015;02/16/2015;Yes
 28978;01/29/2015;815 Contract St;Installation;New Construction;Columbia Gas;02/02/2015;02/23/2015;No
 28979;01/29/2015;3009 Falling Leaves Ln;Installation;New Construction;Columbia Gas;02/03/2015;02/24/2015;No
 28980;01/29/2015;1869 Goodpaster Way;Annual General Permit;New Construction;Columbia Gas;01/30/2015;02/20/2015;No
 28981;01/29/2015;1044 Crimson Creek Dr;Annual General Permit;New Construction;Columbia Gas;02/02/2015;02/23/2015;No
 28964;01/27/2015;778 Breathitt Ave;Street Cut;New Construction;Columbia Gas;02/04/2015;02/25/2015;No
 28965;01/27/2015;451 De Roode St;Street Cut;New Construction;Columbia Gas;01/30/2015;02/20/2015;Yes
 28969;01/27/2015;3309 Grasmere Dr;Street Cut;New Construction;Columbia Gas;02/04/2015;02/25/2015;No
 28968;01/27/2015;700 Widener Ct;Annual General Permit;New Construction;Columbia Gas;02/02/2015;02/23/2015;No
 28966;01/27/2015;1904 Harrodsburg Rd;Annual General Permit;;Windstream Communications;01/19/2015;02/09/2015;Yes
 28967;01/27/2015;659 Cardinal Ln;Street Cut;Maintenance;Kentucky American Water;01/18/2015;02/08/2015;Yes
 28974;01/27/2015;870 De Roode St;Annual General Permit;New Construction;Windstream Communications;02/04/2015;02/28/2015;No
 28963;01/27/2015;961-963 Waverly Dr;Installation;Maintenance;Kentucky American Water;01/20/2015;02/10/2015;No
 28973;01/27/2015;1952 Hart Rd;Street Cut;Repair;Columbia Gas;01/19/2015;02/09/2015;Yes
 28962;01/27/2015;252 Boiling Springs Dr;Installation;Repair;Columbia Gas;01/14/2015;02/04/2015;No
 28958;01/27/2015;607-628 Price Ave;Street Cut;New Construction;Columbia Gas;02/02/2015;03/15/2015;Yes
 28959;01/27/2015;712-742 Price Ave;Street Cut;New Construction;Columbia Gas;02/02/2015;03/15/2015;Yes
 28971;01/27/2015;119 Elam Park;Street Cut;Maintenance;Kentucky American Water;01/19/2015;02/09/2015;Yes
 28960;01/27/2015;338-370 N Upper St;Street Cut;Maintenance;Kentucky American Water;01/30/2015;02/20/2015;Yes
 28961;01/27/2015;401-471 N Upper St;Street Cut;Maintenance;Kentucky American Water;01/30/2015;02/20/2015;Yes
 28970;01/27/2015;2008 Ermine Ct;Installation;New Construction;Columbia Gas;02/12/2015;03/05/2015;No
 28972;01/27/2015;453 Bourbon Ave;Street Cut;Repair;Columbia Gas;01/19/2015;02/09/2015;Yes
 28976;01/27/2015;161 Shawnee Pl;Street Cut;New Construction;Columbia Gas;01/26/2015;03/15/2015;Yes
 28998;01/27/2015;500 Laketower Dr;Street Cut;New Construction;Columbia Gas;02/24/2015;03/17/2015;Yes
 28975;01/27/2015;E Vine St;Installation;Maintenance;Kentucky Utilities;01/26/2015;02/27/2015;No
 28957;01/23/2015;;Street Cut;New Construction;Contractor;01/26/2015;02/09/2015;Yes
 28953;01/22/2015;539 Chinoe Rd;Installation;Maintenance;Kentucky American Water;01/20/2015;02/10/2015;No
 28954;01/22/2015;956 Valley Farm Dr;Installation;Maintenance;Kentucky American Water;01/20/2015;02/10/2015;No
 28952;01/22/2015;3449 Buckhorn Dr;Installation;Maintenance;Kentucky American Water;01/30/2015;02/20/2015;No
 28948;01/22/2015;903 Jairus Dr;Annual General Permit;New Construction;Columbia Gas;02/06/2015;02/27/2015;No
 28949;01/22/2015;333 Colony Blvd;Annual General Permit;Repair;Columbia Gas;01/16/2015;01/22/2015;No
 28950;01/22/2015;3421 Belvoir Dr;Installation;Repair;Columbia Gas;01/16/2015;01/22/2015;No
 28951;01/22/2015;3436 Malabu Cir;Installation;Repair;Columbia Gas;01/16/2015;01/22/2015;No
 28955;01/22/2015;1265 Dale Dr;Installation;Maintenance;Kentucky American Water;01/21/2015;02/11/2015;No
 28956;01/22/2015;Sussex Dr;Installation;Maintenance;Kentucky American Water;01/21/2015;02/11/2015;No
 28943;01/22/2015;1140 Providence Ln;Installation;Maintenance;Kentucky American Water;01/17/2015;02/07/2015;No
 28944;01/22/2015;1245 Summit Dr;Installation;Maintenance;Kentucky American Water;01/16/2015;02/06/2015;No
 28945;01/22/2015;1101 Alexandria Dr;Street Cut;Add/Change Equipment;Columbia Gas;01/31/2015;02/21/2015;Yes
 28942;01/22/2015;228  Bittersweet Way;Annual General Permit;New Construction;Delta Gas;01/19/2015;02/09/2015;No
 28939;01/22/2015;1550 Grant Dr;Installation;Repair;Columbia Gas;01/14/2015;01/22/2015;No
 28940;01/22/2015;3336 Nantucket Dr;Annual General Permit;Repair;Columbia Gas;01/14/2015;01/22/2015;No
 28941;01/22/2015;3880 Westmorland Rd;Installation;Repair;Kentucky American Water;01/16/2015;02/06/2015;No
 28946;01/22/2015;3346 Pepperhill Rd;Installation;New Construction;Columbia Gas;02/02/2015;02/23/2015;No
 28947;01/22/2015;1084, 1085 Crestfield Ln;Installation;New Construction;Columbia Gas;02/02/2015;02/23/2015;No
 28938;01/21/2015;200 Simpson Ave;Street Cut;New Construction;Contractor;01/26/2015;03/26/2015;Yes
 28934;01/15/2015;2109 Carla Ct;Annual General Permit;Repair;Columbia Gas;01/13/2015;01/15/2015;No
 28935;01/15/2015;2021 Larkspur Dr;Installation;Repair;Columbia Gas;01/13/2015;02/03/2015;No
 28936;01/15/2015;616 Halifax Dr;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/24/2015;02/14/2015;Yes
 28937;01/15/2015;255 Derby Dr;Installation;Maintenance;Kentucky American Water;01/14/2015;02/04/2015;No
 28933;01/15/2015;3593 Salisbury Dr;Installation;Maintenance;Kentucky American Water;01/14/2015;02/04/2015;No
 28930;01/14/2015;793 Zandale Dr;Installation;Maintenance;Kentucky American Water;01/13/2015;02/03/2015;No
 28931;01/14/2015;27-38 Mentelle Park;Street Cut;Maintenance;Kentucky American Water;01/15/2015;02/05/2015;Yes
 28932;01/14/2015;39-48 Mentelle Park;Street Cut;Maintenance;Kentucky American Water;01/15/2015;02/05/2015;Yes
 28926;01/14/2015;329 Harvard Dr;Installation;Repair;Columbia Gas;01/08/2015;01/14/2015;No
 28927;01/14/2015;881 Rebecca Dr;Installation;Repair;Columbia Gas;01/08/2015;01/14/2015;No
 28928;01/14/2015;3688 Salisbury Dr;Installation;Maintenance;Kentucky American Water;01/13/2015;02/03/2015;No
 28929;01/14/2015;1501 Bull Lea Rd;Installation;Maintenance;Kentucky American Water;01/12/2015;02/02/2015;No
 28923;01/13/2015;1587 Montrose Dr;Installation;Maintenance;Kentucky American Water;01/12/2015;02/02/2015;No
 28924;01/13/2015;1001 Valley Ave;Street Cut;Repair;Columbia Gas;01/12/2015;02/02/2015;Yes
 28925;01/13/2015;1005 Valley Ave;Street Cut;Repair;Columbia Gas;01/12/2015;02/02/2015;Yes
 28919;01/13/2015;120 Sycamore Rd;Annual General Permit;Maintenance;Windstream Communications;01/19/2015;02/09/2015;No
 28920;01/13/2015;Water St;Street Cut;Maintenance;Kentucky American Water;01/09/2015;01/30/2015;Yes
 28921;01/13/2015;Plumtree Ct;Installation;Maintenance;Kentucky American Water;01/10/2015;01/31/2015;No
 28922;01/13/2015;212 Sherman Ave;Street Cut;New Construction;Kentucky American Water;01/26/2015;02/16/2015;Yes
 28894;01/12/2015;250 W Loudon Ave;Annual General Permit;Maintenance;Time Warner Cable, Inc.;01/06/2015;01/27/2015;No
 28895;01/12/2015;835 National Ave;Annual General Permit;Maintenance;Time Warner Cable, Inc.;01/06/2015;01/27/2015;No
 28896;01/12/2015;316-328 E Tiverton Way;Street Cut;Maintenance;Kentucky American Water;01/05/2015;01/26/2015;Yes
 28897;01/12/2015;123-125 Southland Dr;Installation;Maintenance;Kentucky American Water;01/02/2015;01/23/2015;No
 28898;01/12/2015;286 Southland Dr;Annual General Permit;Maintenance;Windstream Communications;01/07/2015;01/28/2015;No
 28899;01/12/2015;1091-1317 Versailles Rd;Annual General Permit;Maintenance;Time Warner Cable, Inc.;01/20/2015;03/20/2015;Yes
 28900;01/12/2015;122 N Upper St;Street Cut;Add/Change Equipment;Columbia Gas;01/12/2015;02/08/2015;Yes
 28901;01/12/2015;650 Newtown Pike;Annual General Permit;Maintenance;Windstream Communications;01/30/2015;02/20/2015;No
 28902;01/12/2015;625 Hill N Dale Rd;Annual General Permit;Maintenance;Windstream Communications;01/30/2015;02/20/2015;No
 28903;01/12/2015;1657, 1641 Harrogate Rd;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/08/2015;01/29/2015;Yes
 28904;01/12/2015;472-535 Wanstead Way;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/08/2015;01/29/2015;Yes
 28905;01/12/2015;458-534 Stonehaven Dr;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/08/2015;01/29/2015;Yes
 28906;01/12/2015;3500 Gunbow Ct;Installation;Maintenance;Kentucky American Water;01/06/2015;01/27/2015;No
 28907;01/12/2015;3429 Smoky Mountain Dr;Installation;Maintenance;Kentucky American Water;01/06/2015;01/27/2015;No
 28908;01/12/2015;819 Malabu Dr;Annual General Permit;Repair;Columbia Gas;01/05/2015;01/26/2015;No
 28909;01/12/2015;801 National Ave;Annual General Permit;Maintenance;Columbia Gas;01/06/2015;01/09/2015;No
 28910;01/12/2015;330 Jesselin Dr;Installation;Repair;Columbia Gas;01/05/2015;01/26/2015;No
 28911;01/12/2015;215 Habersham Ct;Installation;Repair;Columbia Gas;01/06/2015;01/27/2015;No
 28912;01/12/2015;725 Charles Ave;Installation;Repair;Columbia Gas;01/05/2015;01/26/2015;No
 28913;01/12/2015;2566 Richmond Rd;Annual General Permit;Maintenance;Time Warner Cable, Inc.;01/07/2015;01/28/2015;No
 28914;01/12/2015;5187 Briar Hill Rd;Installation;Maintenance;Kentucky American Water;01/07/2015;01/28/2015;No
 28915;01/12/2015;225 N Limestone;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/12/2015;02/02/2015;Yes
 28916;01/12/2015;220 Avenue Of Champions;Street Cut;New Construction;Kentucky American Water;02/16/2015;03/16/2015;Yes
 28917;01/12/2015;1803 Wayland Dr;Installation;Maintenance;Kentucky American Water;01/08/2015;01/29/2015;No
 28918;01/12/2015;732 Old Dobbin Cir;Street Cut;Maintenance;Kentucky American Water;01/08/2015;01/29/2015;Yes
 28893;01/08/2015;840 Hays Blvd;Installation;New Construction;Columbia Gas;01/05/2015;05/21/2015;Yes
 28861;01/07/2015;1101 Claridge Dr;Installation;Maintenance;Kentucky American Water;12/22/2014;01/12/2015;No
 28858;01/07/2015;619 Benton Ct;Annual General Permit;Repair;Columbia Gas;12/18/2014;01/06/2015;No
 28860;01/07/2015;214-217 Waller Ave;Annual General Permit;Maintenance;Windstream Communications;12/18/2014;01/06/2015;No
 28862;01/07/2015;2116 Eastway Dr;Installation;Repair;Columbia Gas;12/22/2014;01/12/2015;No
 28864;01/07/2015;;Installation;Maintenance;Windstream Communications;12/30/2014;01/30/2015;No
 28865;01/07/2015;3443 Saybrook Rd;Street Cut;Repair;LFUCG-San Sewers (Water Quality);01/04/2015;01/25/2015;No
 28866;01/07/2015;2424 Palumbo Dr;Installation;Maintenance;Kentucky American Water;12/29/2014;01/19/2015;No
 28867;01/07/2015;424 W Reynolds Rd;Installation;Maintenance;Kentucky American Water;01/09/2015;01/30/2015;No
 28868;01/07/2015;450 W Reynolds Rd;Installation;Maintenance;Kentucky American Water;01/09/2015;01/30/2015;No
 28869;01/07/2015;2276 Abbeywood Rd;Annual General Permit;Repair;Columbia Gas;12/26/2014;01/06/2015;No
 28870;01/07/2015;273 Boiling Springs Dr;Installation;Repair;Columbia Gas;12/26/2014;01/16/2015;No
 28871;01/07/2015;2280 Abbeywood Rd;Installation;Repair;Columbia Gas;12/30/2014;01/06/2015;No
 28863;01/07/2015;515 Smith St;Street Cut;Maintenance;Contractor;01/08/2015;05/08/2015;Yes
 28881;01/07/2015;615 De Roode St;Street Cut;Maintenance;Columbia Gas;12/30/2014;01/20/2015;Yes
 28874;01/07/2015;2029 Coburn Blvd;Installation;Repair;Columbia Gas;12/30/2014;01/06/2015;No
 28875;01/07/2015;221 E Maxwell St;Installation;Maintenance;Windstream Communications;12/31/2014;01/06/2015;Yes
 28876;01/07/2015;600 Cricklewood Dr;Annual General Permit;Repair;Columbia Gas;12/23/2014;01/06/2015;No
 28877;01/07/2015;4934 Hartland Pkwy;Installation;Repair;Columbia Gas;12/23/2014;01/06/2015;No
 28878;01/07/2015;212 Jefferson St;Street Cut;Maintenance;Columbia Gas;12/23/2014;01/13/2015;Yes
 28879;01/07/2015;493 Longview Dr;Installation;Maintenance;Columbia Gas;12/12/2014;01/02/2015;No
 28882;01/07/2015;491 Pilgrim Ct;Street Cut;Maintenance;Columbia Gas;12/23/2014;01/13/2015;Yes
 28883;01/07/2015;483 Pilgrim Ct;Street Cut;Maintenance;Columbia Gas;12/23/2014;01/13/2015;Yes
 28884;01/07/2015;476 Pilgrim Ct;Street Cut;Maintenance;Columbia Gas;12/27/2014;01/17/2015;Yes
 28885;01/07/2015;3330 Spangler Dr;Installation;Maintenance;Kentucky American Water;12/31/2014;01/21/2015;No
 28886;01/07/2015;159 E Short St;Installation;Maintenance;Windstream Communications;01/06/2015;01/30/2015;Yes
 28887;01/07/2015;;Installation;Maintenance;Columbia Gas;12/31/2014;01/06/2015;No
 28888;01/07/2015;;Installation;Maintenance;Kentucky American Water;01/02/2015;01/23/2015;No
 28889;01/07/2015;200 W Loudon Ave;Installation;Maintenance;Kentucky American Water;01/09/2015;01/30/2015;No
 28890;01/07/2015;400 Sandalwood Dr;Annual General Permit;Repair;Columbia Gas;12/31/2014;01/21/2015;No
 28891;01/07/2015;3513 Ramsgate Ct;Annual General Permit;Repair;Columbia Gas;01/02/2015;01/06/2015;No
 28892;01/07/2015;250 N Upper St;Installation;Repair;Columbia Gas;12/31/2014;01/21/2015;No
 28873;01/07/2015;417 Lakeshore Dr;Annual General Permit;Repair;Columbia Gas;12/30/2014;01/06/2015;No
 28880;01/07/2015;212 Jefferson St;Street Cut;Maintenance;Columbia Gas;12/26/2014;01/17/2015;Yes
 28859;01/07/2015;1237 Tishoff Dr;Installation;Maintenance;Kentucky American Water;12/22/2014;01/12/2015;No
 28872;01/06/2015;309 Lakeshore Dr;Installation;Repair;Columbia Gas;12/29/2014;01/06/2015;No
 28857;12/31/2014;49-56 Mentelle Park;Street Cut;Maintenance;Kentucky American Water;01/08/2015;01/29/2015;Yes
 28855;12/31/2014;;Street Cut;Maintenance;Kentucky American Water;01/08/2015;01/29/2015;Yes
 28856;12/31/2014;157 Constitution St;Street Cut;Maintenance;Kentucky American Water;01/08/2015;01/29/2015;Yes
 28852;12/31/2014;591 W Short St;Installation;Maintenance;Windstream Communications;12/08/2014;12/31/2014;No
 28853;12/31/2014;257 E Loudon Ave;Annual General Permit;Maintenance;Windstream Communications;11/24/2014;12/15/2014;No
 28854;12/31/2014;435 Marquis Ave;Annual General Permit;Maintenance;Windstream Communications;12/16/2014;12/30/2014;No
 28840;12/31/2014;468 Rose Ln;Street Cut;New Construction;Columbia Gas;01/05/2015;02/15/2015;Yes
 28841;12/31/2014;450 Rose Ln;Street Cut;New Construction;Columbia Gas;01/08/2015;02/15/2015;Yes
 28842;12/31/2014;316 Rose Ln;Street Cut;New Construction;Columbia Gas;01/12/2015;02/28/2015;Yes
 28843;12/31/2014;811 Whitney Ave;Installation;Maintenance;Kentucky American Water;12/22/2014;01/12/2015;No
 28844;12/31/2014;4191 Briar Hill Rd;Installation;Maintenance;Kentucky American Water;12/22/2014;01/12/2015;No
 28837;12/31/2014;1653 Raleigh Rd;Installation;Repair;Columbia Gas;12/18/2014;01/08/2015;No
 28838;12/31/2014;427 Kingswood;Installation;Repair;Columbia Gas;12/19/2014;01/09/2015;No
 28839;12/31/2014;515 Oldham Ct;Installation;Repair;Columbia Gas;12/19/2014;01/09/2015;No
 28845;12/31/2014;596 Cricklewood Dr;Annual General Permit;Repair;Columbia Gas;12/22/2014;12/30/2014;No
 28846;12/31/2014;174 Montmullin St;Street Cut;Maintenance;Columbia Gas;12/22/2014;01/12/2015;Yes
 28847;12/31/2014;342 Ohio St;Street Cut;Maintenance;Columbia Gas;12/22/2014;01/12/2015;Yes
 28848;12/31/2014;150 Deweese St;Street Cut;Maintenance;Columbia Gas;12/19/2014;01/09/2015;Yes
 28849;12/31/2014;551 W Fifth St;Street Cut;Maintenance;Columbia Gas;12/19/2014;01/09/2015;Yes
 28850;12/31/2014;444 Jefferson St;Street Cut;Maintenance;Columbia Gas;12/19/2014;01/09/2015;Yes
 28851;12/31/2014;440 Jefferson St;Street Cut;Maintenance;Columbia Gas;12/19/2014;01/09/2015;Yes
 28836;12/31/2014;135 W Short St;Installation;Maintenance;Contractor;12/31/2014;01/09/2015;Yes
 28833;12/30/2014;2153 Palomar Trace Dr;Street Cut;New Construction;Contractor;12/30/2014;04/17/2015;Yes
 28835;12/30/2014;219 Southland Dr;Street Cut;New Construction;Contractor;01/09/2015;03/30/2015;No
 28834;12/29/2014;342 Avenue Of Champions;Street Cut;New Construction;Contractor;12/29/2014;01/30/2015;Yes
 28813;12/22/2014;;Installation;Maintenance;Kentucky American Water;12/17/2014;01/07/2015;No
 28808;12/22/2014;1618 Clays Mill Rd;Street Cut;Repair;Columbia Gas;11/26/2014;12/16/2014;Yes
 28809;12/22/2014;2881 Middlesex Way;Annual General Permit;Maintenance;Columbia Gas;12/15/2014;12/22/2014;No
 28810;12/22/2014;441 Ash St;Installation;Maintenance;Columbia Gas;12/15/2014;01/05/2015;No
 28811;12/22/2014;131 Pasadena Dr;Annual General Permit;Repair;Columbia Gas;12/16/2014;01/06/2015;No
 28812;12/22/2014;;Annual General Permit;Maintenance;Time Warner Cable, Inc.;12/17/2014;01/07/2015;No
 28814;12/22/2014;180 Cochran Rd;Installation;Repair;Columbia Gas;12/17/2014;12/22/2014;No
 28815;12/22/2014;778 Sherwood Dr;Installation;Repair;Columbia Gas;12/17/2014;12/22/2014;No
 28816;12/22/2014;3620 Cayman Ln;Annual General Permit;New Construction;Columbia Gas;01/02/2015;01/23/2015;No
 28817;12/22/2014;2760 Kearney Creek Ln;Annual General Permit;New Construction;Columbia Gas;01/15/2015;02/05/2015;No
 28818;12/22/2014;716 Jaeduke Dr;Installation;New Construction;Columbia Gas;01/16/2015;02/06/2015;No
 28819;12/22/2014;220 Ruccio Way;Installation;New Construction;Columbia Gas;02/05/2015;02/26/2015;No
 28820;12/22/2014;1716 Hunters Rest Ct;Annual General Permit;New Construction;Columbia Gas;01/15/2015;02/05/2015;No
 28821;12/22/2014;1216 Autumn Ridge Dr;Annual General Permit;New Construction;Columbia Gas;01/15/2015;02/05/2015;No
 28822;12/22/2014;2680 Wilhite Dr;Annual General Permit;Maintenance;Time Warner Cable, Inc.;12/18/2014;01/08/2015;No
 28823;12/22/2014;;Street Cut;Repair;Kentucky American Water;12/18/2014;01/08/2015;Yes
 28824;12/22/2014;820 N Broadway;Installation;Repair;Kentucky American Water;12/18/2014;01/08/2015;No
 28825;12/22/2014;160 Cochran Rd;Installation;Repair;Columbia Gas;12/18/2014;01/08/2015;No
 28826;12/22/2014;203 Sycamore Rd;Installation;Maintenance;Kentucky American Water;12/19/2014;01/09/2015;No
 28827;12/22/2014;3932 Weber Way;Installation;Maintenance;Kentucky American Water;12/19/2014;01/09/2015;No
 28828;12/22/2014;1712 Woodlark Ave;Installation;Maintenance;Kentucky American Water;12/20/2014;01/10/2015;No
 28829;12/22/2014;3458 Fraserdale Ct;Installation;Maintenance;Kentucky American Water;12/19/2014;01/09/2015;No
 28830;12/22/2014;1834 Donco Ct;Installation;Maintenance;Kentucky American Water;12/20/2014;01/10/2015;No
 28831;12/22/2014;;Installation;Maintenance;Kentucky American Water;12/20/2014;01/10/2015;No
 28832;12/22/2014;4513 Cranbrook Ct;Installation;Maintenance;Kentucky American Water;12/21/2014;01/11/2015;No
 28807;12/19/2014;560, 570 Woodland Ave;Installation;Add/Change Equipment;Kentucky Utilities;01/05/2015;05/29/2015;Yes
