CaseNo;Address_1;DateOpened_1;CaseType;OpenClosed;Status;StatusDate_1
20680000SIGNS31          ;0 Winchester Rd;03/04/2015;Nuisance  ;Open  ;Sign Complaint Received                           ;03/04/2015
12670409W32              ;409 E Maxwell St;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
19440422W6               ;422 N Upper St;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
03630613W2               ;613 Central Ave;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
10100336W5               ;336 Jefferson St;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
12840805W29              ;805 Meadow Ln;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
13610175W                ;175 N Mt Tabor Rd;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
16400335W                ;335 Ross Ave;03/04/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
03910311BRDUP            ;311 Chestnut St;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
09321313EMER             ;1313 Highland Park Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
00241956EMER             ;1956 Alice Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
00241956-5               ;1956 Alice Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
08940557                 ;557 Haskins Dr;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
05151862#1-3             ;1862 Dalton Ct #1;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
05151862#8-3             ;1862 Dalton Ct #8;03/04/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
11660912#1               ;912 N Limestone#1;03/04/2015;Housing   ;Open  ;Complaint Received                                ;03/04/2015
05082132                 ;2132 Cypress Dr;03/04/2015;Housing   ;Open  ;Complaint Received                                ;03/04/2015
07202077#12-2            ;2077 Fontaine Rd#12;03/04/2015;Housing   ;Open  ;Complaint Received                                ;03/04/2015
11670565#202             ;565 S Limestone#202;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
00483751#273             ;3751 Appian Way#273;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
19890367-2               ;367 N Martin Luther King Blvd;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
02511064                 ;1064 S Broadway;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
25810817-5               ;817 Quarter Horse Ct;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
19440672-7               ;672 N Upper St;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
14380283-2               ;283 Osage Ct;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
14380285-3               ;285 Osage Ct;03/03/2015;Housing   ;Open  ;Complaint Received                                ;03/03/2015
12840902-2               ;902 Meadow Ln;03/03/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
05130426-7               ;426 Dallas Ave;03/03/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
00231612W10              ;1612 Alexandria Dr;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
38834068W                ;4068 Boone Creek Rd;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
17941460W                ;1460 Stephen Foster Dr;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
04850592W3               ;592 Cricklewood Dr;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
10431248W5               ;1248 Keeneland Ct;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
10431256W                ;1256 Keeneland Ct;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
00651839W7               ;1839 Arundel Dr;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
13411562W                ;1562 Montrose Dr;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
27040476W4               ;476 Scottsdale Cir;03/03/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/04/2015
21130416W#A              ;416 Woodview Dr#A;03/02/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
17470326W2               ;326 Southland Dr;03/02/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
03781857W4               ;1857 Chatsworth Dr;03/02/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
15620387W2               ;387 Radcliffe Rd;03/02/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
14600446W9               ;446 Park Ave;03/02/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
16370404W3               ;404 Rosemont Garden;03/02/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
18590000SIGNS163         ;0 Tates Creek Rd;03/02/2015;Nuisance  ;Open  ;Sign Complaint Received                           ;03/02/2015
08860000SIGNS147         ;0 Harrodsburg Rd;03/02/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;03/02/2015
03910311-2               ;311 Chestnut St;03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
02360457-5               ;457 Breckenridge St;03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/02/2015
20630511CONDEM-2         ;511 Willy St;03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/02/2015
20630513CONDEM-2         ;513 Willy St;03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/02/2015
20671101#2               ;1101 Winburn Dr #2;03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
19601419-1427-4          ;1419-1427 Versailles Rd (Aka 1423 Versailles Rd);03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
19601419-1427-5          ;1419-1427 Versailles Rd (Aka 100 Delmont Dr);03/02/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
16900215-2               ;215 E Seventh St;03/02/2015;Housing   ;Open  ;Complaint Received                                ;03/02/2015
16900446-2               ;446 E Seventh St;03/02/2015;Housing   ;Open  ;Complaint Received                                ;03/02/2015
19890654-2               ;654 N Martin Luther King Blvd;03/02/2015;Housing   ;Open  ;Complaint Received                                ;03/02/2015
19890670-4               ;670 N Martin Luther King Blvd;03/02/2015;Housing   ;Open  ;Complaint Received                                ;03/02/2015
36542720W                ;2720 Hayden Park Ln;03/02/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;03/02/2015
16370408W                ;408 Rosemont Garden;03/02/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;03/03/2015
18590000SIGNS164         ;0 Tates Creek Rd;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
08860000SIGNS148         ;0 Harrodsburg Rd;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
04170000SIGNS109         ;0 Clays Mill Rd;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
19840000SIGNS31          ;0 Waller Ave;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
13970000SIGNS151         ;0 Nicholasville Rd;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
21640000SIGNS92          ;0 Alumni Dr;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
16010000SIGNS143         ;0 Richmond Rd;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
17470000SIGNS67          ;0 Southland Dr;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
09290000SIGNS28          ;0 E High St;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
03950000SIGNS35          ;0 Chinoe Rd;02/28/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/28/2015
07861685W3               ;1685 Gerald Dr;02/27/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
07861689W4               ;1689 Gerald Dr;02/27/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
07861697W2               ;1697 Gerald Dr;02/27/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
16531587W                ;1587 Russell Cave Rd;02/27/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
12300145#312             ;145 Malabu Dr#312;02/27/2015;Housing   ;Open  ;Complaint Received                                ;02/27/2015
15810845#250             ;845 Red Mile Rd#250;02/27/2015;Housing   ;Open  ;Complaint Received                                ;02/27/2015
19661268#211             ;1268 Village Dr#211;02/27/2015;Housing   ;Open  ;Complaint Received                                ;02/27/2015
00483751#110             ;3751 Appian Way#110;02/27/2015;Housing   ;Open  ;Complaint Received                                ;02/27/2015
34760640                 ;640 Danby Woods Dr;02/27/2015;Housing   ;Open  ;Complaint Received                                ;02/27/2015
17930205-3               ;205 State St;02/27/2015;Housing   ;Open  ;Complaint Received                                ;02/27/2015
02900905#AEMER           ;905 Byars Ave #A;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
02360559-3               ;559 Breckenridge St;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
12270273-2               ;273 W Main St Aka 271-275 W Maint St;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
09510500#36EMER          ;500 Hollow Creek Rd #36;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
02600141-3               ;141 Brown Ave;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
02600131-133-4           ;131-133 Brown Ave Aka 133 Brown Ave;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
02510423-431             ;423-431 S Broadway;02/27/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
17690655EMER             ;655 Springridge Dr;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
13420180EMER             ;180 Moore Dr;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/03/2015
02500460-2               ;460 N Broadway;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
12040295EXT-2            ;295 E Loudon Ave Exterior;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
03910573-3               ;573 Chestnut St;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
12040295#2EMER           ;295 E Loudon Ave #2;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
21280156-4               ;156 York St;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
17190737EMER             ;737 Shropshire Ave;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
03910321-3               ;321 Chestnut St;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/02/2015
09321313                 ;1313 Highland Park Dr;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;03/04/2015
12781750#38              ;1750 Mccullough Dr #38 Aka 1218 Winburn Dr #38;02/26/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
18400220#4-2             ;220 Sycamore Rd;02/26/2015;Housing   ;Open  ;Complaint Received                                ;02/26/2015
10843099#58              ;3099 Kirklevington Dr#58;02/26/2015;Housing   ;Open  ;Complaint Received                                ;02/26/2015
18323480-5               ;3480 Sutherland Dr;02/26/2015;Housing   ;Open  ;Complaint Received                                ;02/26/2015
09510510#52-3            ;510 Hollow Creek Rd#52;02/26/2015;Housing   ;Open  ;Complaint Received                                ;02/26/2015
11730305#9104            ;305 Lindenhurst Dr#9104;02/26/2015;Housing   ;Open  ;Complaint Received                                ;02/26/2015
17840146W                ;146 St Phillip Dr;02/26/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;03/02/2015
17840141W2               ;141 St Phillip Dr;02/26/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;03/02/2015
10671597-1599W2          ;1597-1599 Kilkenny Dr;02/26/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/26/2015
16531682W4               ;1682 Russell Cave Rd;02/26/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/26/2015
00980365W19              ;365 Aylesford Pl;02/26/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/27/2015
03940716W2               ;716 Chiles Ave;02/26/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;02/26/2015
18323482-3               ;3482 Sutherland Dr;02/26/2015;Housing   ;Closed;Invalid Complaint                                 ;03/02/2015
00431461W                ;1461 Anniston Dr;02/25/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
02391717W3               ;1717 Brewer Dr;02/25/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
10671682W                ;1682 Kilkenny Dr;02/25/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
07473417W58              ;3417 Fraserdale Dr;02/25/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/26/2015
17090585W                ;585 Sheridan Dr;02/25/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/26/2015
05090467W2               ;467 Dabney Dr;02/25/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/25/2015
33680047-2               ;47 Queen Ave;02/25/2015;Housing   ;Open  ;Complaint Received                                ;02/25/2015
15033550#255             ;3550 Pimlico Pkwy#255;02/25/2015;Housing   ;Open  ;Complaint Received                                ;02/25/2015
35142509#3-2             ;2509 Mackenzie Ln#3;02/25/2015;Housing   ;Open  ;Complaint Received                                ;02/25/2015
17560453DEMO             ;453 Speigle St;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/25/2015
17190727-745EMER         ;727-745 Shropshire Ave Aka 741 Shropshire Ave;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/25/2015
02900905#A               ;905 Byars Ave#A;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
10111750-1760#3-2        ;1750-1760 Jennifer Rd #3;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/25/2015
21012462BRDUP            ;2462 Woodhill Dr;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/25/2015
19601711                 ;1711 Versailles Rd;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
21393312                 ;3312 Lyon Dr;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
19601510#C31             ;1510 Versailles Rd #C31;02/25/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
17190613#1EMER-2         ;613 Shropshire Ave #1;02/24/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
12040295#3-2             ;295 E Loudon Ave #3;02/24/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
08221522-2               ;1522 Grant Dr;02/24/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/24/2015
16960512-2               ;512 Shaftsbury Rd;02/24/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/24/2015
19601903-2               ;1903 Versailles Rd;02/24/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/25/2015
04931040EMER#59          ;1040 Cross Keys Rd #59;02/24/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
17523395#153             ;3395 Spangler Dr#153;02/24/2015;Housing   ;Open  ;Complaint Received                                ;02/24/2015
05560916-3               ;916 Detroit Ave;02/24/2015;Housing   ;Open  ;Complaint Received                                ;02/24/2015
12300145#113B            ;145 Malabu Dr#113b;02/24/2015;Housing   ;Open  ;Complaint Received                                ;02/24/2015
05560922-3               ;922 Detroit Ave;02/24/2015;Housing   ;Open  ;Complaint Received                                ;02/24/2015
10691190W                ;1190 Kilrush Dr;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
10691175W                ;1175 Kilrush Dr;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
10691171W                ;1171 Kilrush Dr;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
07710228W7               ;228 Garrett Ave;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
06001881W2               ;1881 Dunkirk Dr;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
12370252W5               ;252 Mandalay Rd;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
18330217W5               ;217 Sutton Pl;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
03700142W                ;142 Chantilly St;02/24/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/25/2015
09510534#99              ;534 Hollow Creek Rd#99;02/24/2015;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;02/24/2015
19440444W5               ;444 N Upper St;02/24/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;02/24/2015
16830417W18              ;417 E Second St;02/24/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;02/24/2015
06080206W19              ;206 Eastern Ave;02/24/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;02/24/2015
13974300-3               ;4300 Nicholasville Rd;02/24/2015;Housing   ;Closed;Invalid Complaint                                 ;02/26/2015
00302034#3-2             ;2034 Altamont Ct#3;02/24/2015;Housing   ;Closed;Invalid Complaint                                 ;02/25/2015
00241971-5               ;1971 Alice Dr;02/23/2015;Housing   ;Closed;Invalid Complaint                                 ;02/26/2015
07202085#10-2            ;2085 Fontaine Rd#10;02/23/2015;Housing   ;Closed;Invalid Complaint                                 ;03/02/2015
17210366W2               ;366 Sierra Dr;02/23/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/23/2015
19430134W8               ;134 University Ave;02/23/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/24/2015
17630403                 ;403 Spring St;02/23/2015;Housing   ;Open  ;Complaint Received                                ;02/23/2015
19014880                 ;4880 Todds Rd;02/23/2015;Housing   ;Open  ;Complaint Received                                ;02/23/2015
09290608                 ;608 E High St;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/24/2015
11313449                 ;3449 Laredo Dr;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
12640568-9               ;568 Maryland Ave;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/23/2015
06170123                 ;123 Eddie St;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/24/2015
06170128-7               ;128 Eddie St;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/24/2015
06170196-2               ;196 Eddie St;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/25/2015
07140743-3               ;743 Florida St;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
07140739-2               ;739 Florida St;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
17190737-2               ;737 Shropshire Ave;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/26/2015
39342248                 ;2248 Prescott Ln;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
34592753                 ;2753 Jacquelyn Ln;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
09510500#36              ;500 Hollow Creek Rd #36;02/23/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
12520156W                ;156 Market St;02/23/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/23/2015
00622020#403-2           ;2020 Armstrong Mill Rd#403;02/23/2015;Housing   ;Closed;Resolved Complaint                                ;02/23/2015
05672232#221             ;2232 Dinsmore Dr #221;02/23/2015;Housing   ;Closed;Resolved Complaint                                ;02/25/2015
18850100EMER-3           ;100 Thompson Rd;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/23/2015
17690655                 ;655 Springridge Dr;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/27/2015
14200355CONDEM           ;355 Ohio St;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/20/2015
13440420                 ;420 Morgan Ave;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/20/2015
00690544                 ;544 Ash St;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/20/2015
15400301BRDUP            ;301 Preston Ave;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/20/2015
09030108-4               ;108 Hazel Ave;02/20/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/20/2015
18010201#1               ;201 Stone Ave #1;02/20/2015;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;02/26/2015
00931874-6               ;1874 Augusta Dr;02/20/2015;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;02/23/2015
08750162#2               ;162 N Hanover Ave#2;02/19/2015;Housing   ;Closed;Resolved Complaint                                ;02/20/2015
05592220#I-49-3          ;2220 Devonport Dr#I-49;02/19/2015;Housing   ;Closed;Resolved Complaint                                ;02/20/2015
22983303W                ;3303 Huntmaster Cir;02/19/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/23/2015
10111724#H3              ;1724 Jennifer Rd #H3;02/19/2015;Housing   ;Closed;Invalid Complaint                                 ;02/24/2015
11450000SIGNS34          ;0 Leestown Rd;02/18/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/23/2015
07702070W3               ;2070 Garden Springs Dr;02/18/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/19/2015
11602020SIGNS            ;2020 Liberty Rd;02/18/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/20/2015
19634077W3               ;4077 Victoria Way;02/18/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/18/2015
16900214BRDUP-2          ;214 E Seventh St;02/18/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/18/2015
14200632EXT-2            ;632 Ohio St;02/18/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/18/2015
03910434-436CONDEM       ;434-436 Chestnut St Aka 436 Chestnut St;02/18/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/18/2015
02600131-133-3           ;131-133 Brown Ave;02/18/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/18/2015
17941315-3               ;1315 Stephen Foster Dr;02/18/2015;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;02/20/2015
07650000SIGNS21          ;0 Gainesway Dr;02/18/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/19/2015
20370000SIGNS            ;0 Whitehall Pl;02/18/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/19/2015
03450000SIGNS            ;0 Castleton Way;02/18/2015;Nuisance  ;Closed;Sign Closed-No Notice Required                    ;02/19/2015
15700116W4               ;116 Rand Ave;02/17/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
15700118W                ;118 Rand Ave;02/17/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
15700128-130W2           ;128-130 Rand Ave;02/17/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
11660706W7               ;706 N Limestone;02/17/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
16900197-199W15          ;197-199 E Seventh St;02/17/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;03/03/2015
16900171-173W17          ;171-173 E Seventh St;02/17/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;03/03/2015
06170128W17              ;128 Eddie St;02/17/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;02/25/2015
09072032W15              ;2032 Heather Way;02/13/2015;Nuisance  ;Open  ;Nuisance w/Civil Penalty                          ;02/24/2015
19440522W7               ;522 N Upper St;02/13/2015;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;03/03/2015
19430204W12              ;204 University Ave;02/13/2015;Nuisance  ;Closed;Nuisance Resolved w/o Notice/Order                ;02/13/2015
09290506W                ;506 E High St;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/13/2015
17240622W                ;622 Silverleaf Ct;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/02/2015
31020436W6               ;436 Marquis Ave;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;03/03/2015
19634073W5               ;4073 Victoria Way;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/23/2015
22650406W                ;406 Whispering Hills Dr;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/23/2015
07293724W3               ;3724 Forest Green Dr;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/24/2015
12240709W2               ;709 Magoffin St;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/13/2015
19440633W12              ;633 N Upper St;02/13/2015;Nuisance  ;Open  ;Nuisance - Open                                   ;02/26/2015
19450324#3               ;324 S Upper St#3;02/13/2015;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;02/24/2015
09290608EMER             ;608 E High St;02/13/2015;Housing   ;Open  ;Notice/Order Issued                               ;02/24/2015
19601318SIGNS            ;1318 Versailles Rd;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/23/2015
19791687W4               ;1687 Wakefield Ter;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;03/02/2015
09290000SIGNS27          ;0 E High St;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/17/2015
26802072W                ;2072 Stonewood Ln;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/17/2015
39183033W3               ;3033 Roundway Down Ln;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/17/2015
22650428W2               ;428 Whispering Hills Dr;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
32730538W3               ;538 Big Bear Ln;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
22650411W                ;411 Whispering Hills Dr;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
22650507W3               ;507 Whispering Hills Dr;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
30083800W                ;3800 Sugar Creek Dr;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
22650466W                ;466 Whispering Hills Dr;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
22650404W                ;404 Whispering Hills Dr;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
32730619W3               ;619 Big Bear Ln;02/13/2015;Nuisance  ;Closed;Invalid Nuisance                                  ;02/13/2015
03891900W2               ;1900 Cherry Ct;02/13/2015;Nuisance  ;Closed;Closed Nuisance                                   ;03/02/2015
07861877W9               ;1877 Gerald Dr;02/13/2015;Nuisance  ;Closed;Closed Nuisance                                   ;03/02/2015
05442028                 ;2028 Dellwood Dr;02/13/2015;Housing   ;Closed;Invalid Complaint                                 ;02/19/2015
19601423#11              ;1423 Versailles Rd#11;02/13/2015;Housing   ;Closed;Invalid Complaint                                 ;02/19/2015
19661281#D9-2            ;1281 Village Dr #D9;02/13/2015;Housing   ;Closed;Invalid Complaint                                 ;02/19/2015
08492879                 ;2879 Gribbin Dr;02/12/2015;Housing   ;Closed;Invalid Complaint                                 ;02/12/2015
21130481-3               ;481 Woodview Dr;02/12/2015;Housing   ;Closed;Invalid Complaint                                 ;02/19/2015
16290373W4               ;373 Roosevelt Blvd;02/12/2015;Nuisance  ;Closed;Closed Nuisance                                   ;02/26/2015
