CaseNo;Address_1;DateOpened_1;CaseType;OpenClosed;Status;StatusDate_1
27433600S                ;3600 Cottage Cir;03/27/2014;Housing   ;Open  ;Reinspection                                      ;02/23/2015
42532956W                ;2956 Sullivans Trce;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/31/2014
36552732W7               ;2732 Michelle Park;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/31/2014
01890576W                ;576 Bishop Dr;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/28/2014
04510619W                ;619 Columbia Ave;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/31/2014
28610638W2               ;638 Brookgreen Ln;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/31/2014
13460403W                ;403 Morrison Ave;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/28/2014
03270343W                ;343 Carlisle Ave;03/27/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/28/2014
10590608                 ;608 Kent Dr;03/27/2014;Housing   ;Closed;Invalid Complaint                                 ;04/02/2014
16113587-2               ;3587 River Park Dr;03/27/2014;Housing   ;Closed;Closed Out                                        ;05/07/2014
11090500-3               ;500 Laketower Dr;03/27/2014;Housing   ;Closed;Closed Out                                        ;07/03/2014
27433640S                ;3640 Cottage Cir;03/27/2014;Housing   ;Closed;Closed Out                                        ;05/14/2014
27433748S                ;3748 Cottage Cir;03/27/2014;Housing   ;Closed;Closed Out                                        ;05/14/2014
27433648-2               ;3648 Cottage Cir;03/27/2014;Housing   ;Closed;Closed Out                                        ;05/07/2014
27433652-3               ;3652 Cottage Cir;03/27/2014;Housing   ;Closed;Closed Out                                        ;05/07/2014
27433668-2               ;3668 Cottage Cir;03/27/2014;Housing   ;Closed;Closed Out                                        ;05/07/2014
06001887W                ;1887 Dunkirk Dr;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/15/2014
00231265-1267W           ;1265-1267 Alexandria Dr;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/22/2014
01900711W2               ;711 Biskoff Ct;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/11/2014
10300554W                ;554 Judy Ln;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/11/2014
19930821W8               ;821 Ward Dr;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/11/2014
19930817W10              ;817 Ward Dr;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;05/09/2014
14300435W12              ;435 Oldham Ave;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/14/2014
36231121W5               ;1121 Appian Crossing Way;03/27/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/21/2014
11660902#1               ;902 N Limestone #1;03/27/2014;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;04/02/2014
05810407W15              ;407 Douglas Ave;03/27/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;04/14/2014
05410953W3               ;953 Delaware Ave;03/26/2014;Nuisance  ;Closed;Nuisance Closed w/Civil Penalty                   ;09/08/2014
19430222W12              ;222 University Ave;03/26/2014;Nuisance  ;Closed;Nuisance Resolved w/o Notice/Order                ;03/26/2014
17350531W4               ;531 Smith St;03/26/2014;Nuisance  ;Closed;Nuisance Resolved w/o Notice/Order                ;04/02/2014
18112030#2               ;2030 Jeffrey Ct #2;03/26/2014;Housing   ;Closed;Closed/Cancelled-No Response from Tenant          ;04/08/2014
19601419-1427-3          ;1419-1427 Versailles Rd;03/26/2014;Housing   ;Open  ;Housing w/Civil Penalty                           ;03/03/2015
19601427#2-2             ;1419-1427 Versailles Rd #2 (Aka 1427 Versailles#2);03/26/2014;Housing   ;Open  ;Housing w/Civil Penalty                           ;03/03/2015
21012460W4               ;2460 Woodhill Dr;03/26/2014;Nuisance  ;Closed;Closed/Abated by City                             ;04/24/2014
21012466W5               ;2466 Woodhill Dr;03/26/2014;Nuisance  ;Closed;Closed/Abated by City                             ;04/24/2014
21012462W4               ;2462 Woodhill Dr;03/26/2014;Nuisance  ;Closed;Closed/Abated by City                             ;04/24/2014
02850117W6               ;117 Burnett Ave;03/26/2014;Nuisance  ;Closed;Closed/Abated by City                             ;04/21/2014
18341255                 ;1255 Swansea Ct;03/26/2014;Housing   ;Closed;Housing Closed w/Civil Penalty                    ;07/23/2014
03252101W4               ;2101 Carla Ct;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
10590605W                ;605 Kent Dr;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
16230535W                ;535 Rogers Rd;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
19430211W27              ;211 University Ave;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;03/28/2014
17930210W22              ;210 State St;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;03/28/2014
17930125W15              ;125 State St;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;03/28/2014
19430134W6               ;134 University Ave;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;03/28/2014
14380262W12              ;262 Osage Ct;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/18/2014
09090222W7               ;222 Hedgewood Ct;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;05/05/2014
19440522W6               ;522 N Upper St;03/26/2014;Nuisance  ;Closed;Closed Nuisance                                   ;04/10/2014
11670304                 ;304 S Limestone;03/26/2014;Housing   ;Closed;Closed Out                                        ;06/13/2014
20681107-3               ;1107 Winchester Rd;03/26/2014;Housing   ;Closed;Closed Out                                        ;04/25/2014
44570475-2               ;475 Pilgrim Ct;03/26/2014;Housing   ;Closed;Closed Out                                        ;10/09/2014
18112022-2030#4          ;2022-2030 Jeffrey Ct #4;03/26/2014;Housing   ;Closed;Closed Out                                        ;05/16/2014
10922402-3               ;2402 La Rochelle Rd;03/26/2014;Housing   ;Closed;Closed Out                                        ;05/23/2014
07020209-3               ;209 E Fifth St;03/26/2014;Housing   ;Closed;Invalid Complaint                                 ;03/26/2014
16960509-2               ;509 Shaftsbury Rd;03/26/2014;Housing   ;Closed;Invalid Complaint                                 ;03/28/2014
16960509W6               ;509 Shaftsbury Rd;03/26/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/27/2014
16270344W12              ;344 Romany Rd;03/26/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/26/2014
02511030#7               ;1030 S Broadway #7;03/26/2014;Housing   ;Closed;Resolved Complaint                                ;03/28/2014
00921788#1-4             ;1788 Augusta Ct #1;03/25/2014;Housing   ;Closed;Resolved Complaint                                ;03/25/2014
07770686                 ;686 Gay Pl;03/25/2014;Housing   ;Closed;Resolved Complaint                                ;03/27/2014
18550318W                ;318 Tangley Way;03/25/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/28/2014
07600877W2               ;877 Furlong Dr;03/25/2014;Nuisance  ;Closed;Invalid Nuisance                                  ;03/26/2014
